Вантала;Hе иди по течению, не иди против течения, иди поперек него, если хочешь достичь берега.;http://forismatic.com/ru/2af94a7760/
Вовенарг;Благо тому, кто тверд по натуре и гибок по здравому рассуждению.;http://forismatic.com/ru/3dc7fb18d3/
Герш Ицкович Будкер;Иногда полезнее не знать, что сделано до тебя, чтобы не сбиться на проторенный путь, ведущий в тупик. ;http://forismatic.com/ru/6551c0254a/
Клеанф;Желающего идти судьба ведет, не желающего — тащит. ;http://forismatic.com/ru/b799c1ce52/
Лев Толстой;Если человек горд, то он выделяет себя от других людей и этим лишает себя лучшей радости жизни — свободного и радостного общения со всеми людьми.;http://forismatic.com/ru/bd555928bf/
Луиза Леблан;Мужчина не думает о себе лишь в те минуты, когда он уверен, что кто-то другой думает только о нем. ;http://forismatic.com/ru/df6d65f543/
Такуан Сохо;Тот, кто знает меру и не имеет желаний, будет счастлив даже в бедности. Все боятся бедности, но если человек наслаждается бедностью, откуда у него возьмется страх перед ней?;http://forismatic.com/ru/efa0559664/
Томас Эдисон;Я никогда не падаю духом, потому что каждая неудачная попытка является для меня еще одним шагом вперед. ;http://forismatic.com/ru/a1d63b6932/
Уильям Чэннинг;Великие возможности приходят ко всем, но многие даже не знают, что встретились с ними. ;http://forismatic.com/ru/270af139aa/
Франсуа Де Ларошфуко;Разлука уменьшает умеренную любовь и увеличивает сильную подобно тому как ветер тушит свечу и раздувает огонь.;http://forismatic.com/ru/9493ec1931/
